,Team,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Season,Date,Opponent
1876,Nashville Predators,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,66.7,75.0,66.7,75.0,23.0,49.0,57.1,2023,2022/12/02,New York Islanders
1877,Columbus Blue Jackets,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,80.0,0.0,80.0,26.0,38.0,52.2,2023,2022/12/02,Winnipeg Jets
1878,Winnipeg Jets,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,20.0,100.0,20.0,100.0,38.0,26.0,47.8,2023,2022/12/02,Columbus Blue Jackets
1879,New Jersey Devils,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,40.0,100.0,40.0,100.0,28.0,24.0,52.5,2023,2022/12/01,Nashville Predators
1880,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,66.7,0.0,66.7,22.0,27.0,34.8,2023,2022/12/01,Tampa Bay Lightning
1881,Pittsburgh Penguins,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,25.0,33.3,25.0,33.3,47.0,37.0,48.1,2023,2022/12/01,Vegas Golden Knights
1882,Buffalo Sabres,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,28.6,50.0,28.6,50.0,28.0,34.0,44.1,2023,2022/12/01,Colorado Avalanche
1883,Montréal Canadiens,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,33.3,100.0,33.3,100.0,19.0,46.0,53.6,2023,2022/12/01,Calgary Flames
1884,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,100.0,33.3,100.0,33.3,36.0,26.0,59.6,2023,2022/12/01,St. Louis Blues
1885,Florida Panthers,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,0.0,100.0,0.0,100.0,32.0,33.0,45.6,2023,2022/12/01,Vancouver Canucks
1886,Tampa Bay Lightning,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,33.3,100.0,33.3,100.0,27.0,22.0,65.2,2023,2022/12/01,Philadelphia Flyers
1887,Washington Capitals,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,25.0,50.0,25.0,50.0,23.0,25.0,57.4,2023,2022/12/01,Seattle Kraken
1888,Nashville Predators,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,0.0,60.0,0.0,60.0,24.0,28.0,47.5,2023,2022/12/01,New Jersey Devils
1889,St. Louis Blues,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,66.7,0.0,66.7,0.0,26.0,36.0,40.4,2023,2022/12/01,Carolina Hurricanes
1890,Calgary Flames,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,0.0,66.7,0.0,66.7,46.0,19.0,46.4,2023,2022/12/01,Montreal Canadiens
1891,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,50.0,71.4,50.0,71.4,34.0,28.0,55.9,2023,2022/12/01,Buffalo Sabres
1892,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,33.3,33.3,33.3,33.3,21.0,30.0,52.6,2023,2022/12/01,Minnesota Wild
1893,Vancouver Canucks,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,0.0,100.0,0.0,100.0,33.0,32.0,54.4,2023,2022/12/01,Florida Panthers
1894,Anaheim Ducks,1,0,1,0,0,.000,0,0,0,0,5,0.00,5.00,0.0,50.0,0.0,50.0,31.0,41.0,35.9,2023,2022/12/01,Dallas Stars
1895,Dallas Stars,1,1,0,0,2,1.000,1,1,0,5,0,5.00,0.00,50.0,100.0,50.0,100.0,41.0,31.0,64.2,2023,2022/12/01,Anaheim Ducks
1896,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,50.0,100.0,25.0,100.0,32.0,21.0,47.4,2023,2022/12/01,Arizona Coyotes
1897,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,66.7,66.7,66.7,66.7,30.0,21.0,47.4,2023,2022/12/01,Edmonton Oilers
1898,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,0.0,50.0,0.0,75.0,21.0,32.0,52.6,2023,2022/12/01,Los Angeles Kings
1899,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,66.7,75.0,66.7,75.0,37.0,47.0,51.9,2023,2022/12/01,Pittsburgh Penguins
1900,Seattle Kraken,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,50.0,75.0,50.0,75.0,25.0,23.0,42.6,2023,2022/12/01,Washington Capitals
1901,New York Rangers,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,36.0,35.0,29.4,2023,2022/11/30,Ottawa Senators
1902,Buffalo Sabres,1,1,0,0,2,1.000,0,0,1,4,4,4.00,4.00,50.0,100.0,50.0,114.3,34.0,45.0,31.9,2023,2022/11/30,Detroit Red Wings
1903,Ottawa Senators,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,35.0,36.0,70.6,2023,2022/11/30,New York Rangers
1904,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,--,0.0,--,32.0,24.0,60.8,2023,2022/11/30,San Jose Sharks
1905,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,4,5,4.00,5.00,33.3,100.0,33.3,100.0,25.0,41.0,60.9,2023,2022/11/30,Edmonton Oilers
1906,Detroit Red Wings,1,0,0,1,1,.500,0,0,0,4,4,4.00,4.00,0.0,50.0,-14.3,50.0,45.0,34.0,68.1,2023,2022/11/30,Buffalo Sabres
1907,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,5,4,5.00,4.00,0.0,66.7,0.0,66.7,41.0,25.0,39.1,2023,2022/11/30,Chicago Blackhawks
1908,San Jose Sharks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,--,100.0,--,100.0,24.0,32.0,39.2,2023,2022/11/30,Toronto Maple Leafs
1909,New York Islanders,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,25.0,100.0,0.0,100.0,24.0,33.0,50.9,2023,2022/11/29,Philadelphia Flyers
1910,Philadelphia Flyers,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,75.0,0.0,100.0,33.0,24.0,49.1,2023,2022/11/29,New York Islanders
1911,Pittsburgh Penguins,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,32.0,39.0,47.4,2023,2022/11/29,Carolina Hurricanes
1912,Boston Bruins,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,100.0,50.0,100.0,50.0,26.0,28.0,46.0,2023,2022/11/29,Tampa Bay Lightning
1913,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,0.0,100.0,28.0,24.0,53.2,2023,2022/11/29,San Jose Sharks
1914,Carolina Hurricanes,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,39.0,32.0,52.6,2023,2022/11/29,Pittsburgh Penguins
1915,Florida Panthers,1,0,1,0,0,.000,0,0,0,2,6,2.00,6.00,0.0,75.0,-25.0,75.0,33.0,23.0,37.3,2023,2022/11/29,Calgary Flames
1916,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,50.0,0.0,50.0,0.0,28.0,26.0,54.0,2023,2022/11/29,Boston Bruins
1917,Washington Capitals,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,0.0,100.0,0.0,100.0,28.0,32.0,46.9,2023,2022/11/29,Vancouver Canucks
1918,Nashville Predators,1,1,0,0,2,1.000,0,1,0,2,1,2.00,1.00,0.0,--,0.0,--,41.0,35.0,58.2,2023,2022/11/29,Anaheim Ducks
1919,Calgary Flames,1,1,0,0,2,1.000,1,1,0,6,2,6.00,2.00,25.0,100.0,25.0,125.0,23.0,33.0,62.7,2023,2022/11/29,Florida Panthers
1920,Colorado Avalanche,1,0,1,0,0,.000,0,0,0,0,5,0.00,5.00,0.0,50.0,0.0,50.0,40.0,23.0,37.0,2023,2022/11/29,Winnipeg Jets
1921,Vancouver Canucks,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,0.0,100.0,0.0,100.0,32.0,28.0,53.1,2023,2022/11/29,Washington Capitals
1922,Anaheim Ducks,1,0,0,1,1,.500,0,0,0,1,2,1.00,2.00,--,100.0,--,100.0,35.0,41.0,41.8,2023,2022/11/29,Nashville Predators
1923,Los Angeles Kings,1,0,0,1,1,.500,0,0,0,8,9,8.00,9.00,50.0,25.0,50.0,25.0,35.0,30.0,62.9,2023,2022/11/29,Seattle Kraken
1924,San Jose Sharks,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,100.0,24.0,28.0,46.8,2023,2022/11/29,Montreal Canadiens
1925,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,5,0,5.00,0.00,50.0,100.0,50.0,100.0,23.0,40.0,63.0,2023,2022/11/29,Colorado Avalanche
1926,Seattle Kraken,1,1,0,0,2,1.000,0,1,0,9,8,9.00,8.00,75.0,50.0,75.0,50.0,30.0,35.0,37.1,2023,2022/11/29,Los Angeles Kings
1927,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,0.0,80.0,0.0,80.0,38.0,38.0,59.6,2023,2022/11/28,New York Rangers
1928,New York Rangers,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,20.0,100.0,20.0,100.0,38.0,38.0,40.4,2023,2022/11/28,New Jersey Devils
1929,Buffalo Sabres,1,0,0,1,1,.500,0,0,0,5,6,5.00,6.00,0.0,25.0,0.0,25.0,37.0,25.0,40.0,2023,2022/11/28,Tampa Bay Lightning
1930,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,50.0,100.0,50.0,100.0,25.0,44.0,56.0,2023,2022/11/28,Detroit Red Wings
1931,Florida Panthers,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,25.0,80.0,25.0,80.0,28.0,40.0,42.2,2023,2022/11/28,Edmonton Oilers
1932,Tampa Bay Lightning,1,1,0,0,2,1.000,0,1,0,6,5,6.00,5.00,75.0,100.0,75.0,100.0,25.0,37.0,60.0,2023,2022/11/28,Buffalo Sabres
1933,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,50.0,0.0,50.0,44.0,25.0,44.0,2023,2022/11/28,Toronto Maple Leafs
1934,St. Louis Blues,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,0.0,100.0,24.0,24.0,36.2,2023,2022/11/28,Dallas Stars
1935,Edmonton Oilers,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,20.0,75.0,20.0,75.0,40.0,28.0,57.8,2023,2022/11/28,Florida Panthers
1936,Dallas Stars,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,100.0,24.0,24.0,63.8,2023,2022/11/28,St. Louis Blues
1937,Columbus Blue Jackets,1,0,0,1,1,.500,0,0,0,2,2,2.00,2.00,0.0,100.0,0.0,100.0,28.0,36.0,44.4,2023,2022/11/28,Vegas Golden Knights
1938,Vegas Golden Knights,1,1,0,0,2,1.000,0,0,1,2,2,2.00,2.00,0.0,100.0,0.0,100.0,36.0,28.0,55.6,2023,2022/11/28,Columbus Blue Jackets
1939,Ottawa Senators,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,50.0,0.0,50.0,0.0,39.0,27.0,48.5,2023,2022/11/27,Los Angeles Kings
1940,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,2,7,2.00,7.00,50.0,50.0,50.0,50.0,25.0,44.0,44.9,2023,2022/11/27,Winnipeg Jets
1941,Vancouver Canucks,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,0.0,0.0,0.0,0.0,20.0,35.0,43.6,2023,2022/11/27,San Jose Sharks
1942,Anaheim Ducks,1,0,1,0,0,.000,0,0,0,4,5,4.00,5.00,75.0,50.0,75.0,50.0,29.0,25.0,58.6,2023,2022/11/27,Seattle Kraken
1943,Los Angeles Kings,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,100.0,50.0,100.0,50.0,27.0,39.0,51.5,2023,2022/11/27,Ottawa Senators
1944,San Jose Sharks,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,100.0,100.0,100.0,100.0,35.0,20.0,56.4,2023,2022/11/27,Vancouver Canucks
1945,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,33.3,100.0,33.3,100.0,29.0,23.0,55.2,2023,2022/11/27,Arizona Coyotes
1946,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,7,2,7.00,2.00,50.0,50.0,50.0,50.0,44.0,25.0,55.1,2023,2022/11/27,Chicago Blackhawks
1947,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,0.0,66.7,0.0,66.7,23.0,29.0,44.8,2023,2022/11/27,Minnesota Wild
1948,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,5,4,5.00,4.00,50.0,25.0,50.0,25.0,25.0,29.0,41.4,2023,2022/11/27,Anaheim Ducks
1949,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,33.3,75.0,33.3,75.0,29.0,38.0,51.9,2023,2022/11/26,Washington Capitals
1950,New York Islanders,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,66.7,100.0,66.7,100.0,23.0,28.0,52.4,2023,2022/11/26,Philadelphia Flyers
1951,New York Rangers,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,0.0,66.7,0.0,66.7,23.0,32.0,49.1,2023,2022/11/26,Edmonton Oilers
1952,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,33.3,0.0,33.3,28.0,23.0,47.6,2023,2022/11/26,New York Islanders
1953,Pittsburgh Penguins,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,0.0,100.0,26.0,41.0,49.1,2023,2022/11/26,Toronto Maple Leafs
1954,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,100.0,41.0,26.0,50.9,2023,2022/11/26,Pittsburgh Penguins
1955,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,66.7,66.7,66.7,66.7,33.0,20.0,42.9,2023,2022/11/26,Calgary Flames
1956,Florida Panthers,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,0.0,100.0,0.0,125.0,37.0,37.0,46.0,2023,2022/11/26,St. Louis Blues
1957,Washington Capitals,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,25.0,66.7,25.0,66.7,38.0,29.0,48.1,2023,2022/11/26,New Jersey Devils
1958,St. Louis Blues,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,0.0,100.0,-25.0,100.0,37.0,37.0,54.0,2023,2022/11/26,Florida Panthers
1959,Calgary Flames,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,33.3,33.3,33.3,33.3,20.0,33.0,57.1,2023,2022/11/26,Carolina Hurricanes
1960,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,25.0,80.0,25.0,80.0,36.0,42.0,36.8,2023,2022/11/26,Dallas Stars
1961,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,33.3,100.0,33.3,100.0,32.0,23.0,50.9,2023,2022/11/26,New York Rangers
1962,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,60.0,100.0,60.0,100.0,36.0,27.0,39.7,2023,2022/11/26,Vegas Golden Knights
1963,Dallas Stars,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,20.0,75.0,20.0,75.0,42.0,36.0,63.2,2023,2022/11/26,Colorado Avalanche
1964,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,0.0,40.0,0.0,40.0,27.0,36.0,60.3,2023,2022/11/26,Vancouver Canucks
1965,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,44.0,34.0,57.1,2023,2022/11/25,Buffalo Sabres
1966,New York Islanders,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,25.0,50.0,25.0,50.0,24.0,26.0,48.3,2023,2022/11/25,Columbus Blue Jackets
1967,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,0.0,100.0,30.0,29.0,37.0,2023,2022/11/25,Pittsburgh Penguins
1968,Pittsburgh Penguins,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,100.0,29.0,30.0,63.0,2023,2022/11/25,Philadelphia Flyers
1969,Boston Bruins,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,16.7,66.7,16.7,66.7,41.0,36.0,57.1,2023,2022/11/25,Carolina Hurricanes
1970,Buffalo Sabres,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,34.0,44.0,42.9,2023,2022/11/25,New Jersey Devils
1971,Montréal Canadiens,1,1,0,0,2,1.000,0,0,1,2,2,2.00,2.00,50.0,75.0,50.0,75.0,23.0,32.0,43.1,2023,2022/11/25,Chicago Blackhawks
1972,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,37.5,100.0,37.5,100.0,33.0,32.0,56.3,2023,2022/11/25,Anaheim Ducks
1973,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,0.0,50.0,0.0,50.0,28.0,28.0,55.6,2023,2022/11/25,Minnesota Wild
1974,Carolina Hurricanes,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,33.3,83.3,33.3,83.3,36.0,41.0,42.9,2023,2022/11/25,Boston Bruins
1975,Tampa Bay Lightning,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,50.0,66.7,50.0,66.7,27.0,27.0,45.8,2023,2022/11/25,St. Louis Blues
1976,Washington Capitals,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,50.0,100.0,50.0,100.0,25.0,32.0,50.0,2023,2022/11/25,Calgary Flames
1977,Chicago Blackhawks,1,0,0,1,1,.500,0,0,0,2,2,2.00,2.00,25.0,50.0,25.0,50.0,32.0,23.0,56.9,2023,2022/11/25,Montreal Canadiens
1978,Detroit Red Wings,1,1,0,0,2,1.000,0,0,1,3,3,3.00,3.00,50.0,100.0,50.0,100.0,36.0,24.0,56.6,2023,2022/11/25,Arizona Coyotes
1979,St. Louis Blues,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,33.3,50.0,33.3,50.0,27.0,27.0,54.2,2023,2022/11/25,Tampa Bay Lightning
1980,Calgary Flames,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,50.0,0.0,50.0,32.0,25.0,50.0,2023,2022/11/25,Washington Capitals
1981,Anaheim Ducks,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,0.0,62.5,0.0,62.5,32.0,33.0,43.7,2023,2022/11/25,Ottawa Senators
1982,Dallas Stars,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,25.0,100.0,25.0,100.0,41.0,28.0,69.2,2023,2022/11/25,Winnipeg Jets
1983,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,50.0,100.0,50.0,100.0,29.0,31.0,52.2,2023,2022/11/25,San Jose Sharks
1984,San Jose Sharks,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,50.0,0.0,50.0,31.0,29.0,47.8,2023,2022/11/25,Los Angeles Kings
1985,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,50.0,75.0,50.0,75.0,26.0,24.0,51.7,2023,2022/11/25,New York Islanders
1986,Minnesota Wild,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,50.0,100.0,50.0,100.0,28.0,28.0,44.4,2023,2022/11/25,Toronto Maple Leafs
1987,Winnipeg Jets,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,0.0,75.0,0.0,75.0,28.0,41.0,30.8,2023,2022/11/25,Dallas Stars
1988,Arizona Coyotes,1,0,0,1,1,.500,0,0,0,3,3,3.00,3.00,0.0,50.0,0.0,50.0,24.0,36.0,43.4,2023,2022/11/25,Detroit Red Wings
1989,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,100.0,100.0,100.0,100.0,22.0,28.0,57.4,2023,2022/11/25,Seattle Kraken
1990,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,0.0,0.0,0.0,28.0,22.0,42.6,2023,2022/11/25,Vegas Golden Knights
1991,New Jersey Devils,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,0.0,100.0,0.0,100.0,35.0,20.0,59.0,2023,2022/11/23,Toronto Maple Leafs
1992,New York Islanders,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,50.0,100.0,50.0,120.0,31.0,49.0,52.1,2023,2022/11/23,Edmonton Oilers
1993,New York Rangers,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,43.0,22.0,47.8,2023,2022/11/23,Anaheim Ducks
1994,Philadelphia Flyers,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,66.7,0.0,66.7,23.0,32.0,42.3,2023,2022/11/23,Washington Capitals
1995,Pittsburgh Penguins,1,1,0,0,2,1.000,0,0,1,1,1,1.00,1.00,0.0,100.0,0.0,100.0,39.0,34.0,54.2,2023,2022/11/23,Calgary Flames
1996,Boston Bruins,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,33.3,57.1,33.3,57.1,39.0,31.0,58.7,2023,2022/11/23,Florida Panthers
1997,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,6,2,6.00,2.00,66.7,66.7,66.7,66.7,32.0,36.0,53.9,2023,2022/11/23,St. Louis Blues
1998,Montréal Canadiens,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,29.0,31.0,45.5,2023,2022/11/23,Columbus Blue Jackets
1999,Ottawa Senators,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,50.0,75.0,50.0,75.0,40.0,36.0,44.6,2023,2022/11/23,Vegas Golden Knights
2000,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,0.0,100.0,0.0,100.0,20.0,35.0,41.0,2023,2022/11/23,New Jersey Devils
2001,Carolina Hurricanes,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,0.0,100.0,36.0,27.0,57.1,2023,2022/11/23,Arizona Coyotes
2002,Florida Panthers,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,42.9,66.7,42.9,66.7,31.0,39.0,41.3,2023,2022/11/23,Boston Bruins
2003,Washington Capitals,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,33.3,100.0,33.3,100.0,32.0,23.0,57.7,2023,2022/11/23,Philadelphia Flyers
2004,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,0.0,50.0,0.0,50.0,31.0,39.0,46.2,2023,2022/11/23,Dallas Stars
2005,Detroit Red Wings,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,50.0,100.0,50.0,100.0,29.0,26.0,60.5,2023,2022/11/23,Nashville Predators
2006,Nashville Predators,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,50.0,0.0,50.0,26.0,29.0,39.5,2023,2022/11/23,Detroit Red Wings
2007,St. Louis Blues,1,0,1,0,0,.000,0,0,0,2,6,2.00,6.00,33.3,33.3,33.3,33.3,36.0,32.0,46.2,2023,2022/11/23,Buffalo Sabres
2008,Calgary Flames,1,0,0,1,1,.500,0,0,0,1,1,1.00,1.00,0.0,100.0,0.0,100.0,34.0,39.0,45.8,2023,2022/11/23,Pittsburgh Penguins
2009,Colorado Avalanche,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,33.3,100.0,33.3,100.0,36.0,25.0,47.2,2023,2022/11/23,Vancouver Canucks
2010,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,50.0,-20.0,50.0,49.0,31.0,47.9,2023,2022/11/23,New York Islanders
2011,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,0.0,66.7,0.0,66.7,25.0,36.0,52.8,2023,2022/11/23,Colorado Avalanche
2012,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,22.0,43.0,52.2,2023,2022/11/23,New York Rangers
2013,Dallas Stars,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,50.0,100.0,50.0,100.0,39.0,31.0,53.9,2023,2022/11/23,Chicago Blackhawks
2014,San Jose Sharks,1,0,1,0,0,.000,0,0,0,5,8,5.00,8.00,50.0,66.7,50.0,66.7,26.0,27.0,54.4,2023,2022/11/23,Seattle Kraken
2015,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,31.0,29.0,54.6,2023,2022/11/23,Montreal Canadiens
2016,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,6,1,6.00,1.00,40.0,100.0,40.0,100.0,39.0,29.0,57.9,2023,2022/11/23,Winnipeg Jets
2017,Winnipeg Jets,1,0,1,0,0,.000,0,0,0,1,6,1.00,6.00,0.0,60.0,0.0,60.0,29.0,39.0,42.1,2023,2022/11/23,Minnesota Wild
2018,Arizona Coyotes,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,100.0,27.0,36.0,42.9,2023,2022/11/23,Carolina Hurricanes
2019,Vegas Golden Knights,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,25.0,50.0,25.0,50.0,36.0,40.0,55.4,2023,2022/11/23,Ottawa Senators
2020,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,8,5,8.00,5.00,33.3,50.0,33.3,50.0,27.0,26.0,45.6,2023,2022/11/23,San Jose Sharks
2021,New York Rangers,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,--,0.0,--,0.0,25.0,38.0,47.5,2023,2022/11/22,Los Angeles Kings
2022,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,7,2,7.00,2.00,50.0,100.0,50.0,100.0,38.0,31.0,45.3,2023,2022/11/22,Montreal Canadiens
2023,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,2,7,2.00,7.00,0.0,50.0,0.0,50.0,31.0,38.0,54.7,2023,2022/11/22,Buffalo Sabres
2024,Los Angeles Kings,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,100.0,--,100.0,--,38.0,25.0,52.5,2023,2022/11/22,New York Rangers
2025,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,33.3,75.0,33.3,75.0,28.0,30.0,46.3,2023,2022/11/21,Edmonton Oilers
2026,New York Islanders,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,50.0,0.0,50.0,24.0,32.0,47.5,2023,2022/11/21,Toronto Maple Leafs
